Price,Date_Sold,Tenure_Type,New_Build,Address,Property_Type,Num_Bedrooms,Floorplan,Latitude,Longitude,Post_Code,Road_Name,Year_Sold
226500,25 Apr 2008,Leasehold,False,"17, Huxley Road, London, Greater London E10 5QT",Flat,3.0,True,51.56083,-0.00844,E10 5QT, Huxley Road,2008
660000,28 Sep 2021,Freehold,False,"46, Nottingham Road, London, Greater London E10 6EP",Terraced,3.0,True,51.5771,-0.00268,E10 6EP, Nottingham Road,2021
588500,22 Sep 2021,Freehold,False,"35, Sunnyside Road, London, Greater London E10 7BB",Terraced,3.0,True,51.56761,-0.02142,E10 7BB, Sunnyside Road,2021
215000,14 May 2004,Freehold,False,"35, Sunnyside Road, London, Greater London E10 7BB",Terraced,3.0,True,51.56761,-0.02142,E10 7BB, Sunnyside Road,2004
637000,20 Sep 2021,Freehold,False,"63, Chesterfield Road, London, Greater London E10 6EN",Terraced,3.0,True,51.57469,-0.00423,E10 6EN, Chesterfield Road,2021
300000,28 Oct 2013,Freehold,False,"63, Chesterfield Road, London, Greater London E10 6EN",Terraced,3.0,True,51.57469,-0.00423,E10 6EN, Chesterfield Road,2013
808000,17 Sep 2021,Freehold,False,"67, Nottingham Road, London, Greater London E10 6EP",Terraced,5.0,True,51.5771,-0.00268,E10 6EP, Nottingham Road,2021
580000,1 Sep 2021,Freehold,False,"305, Capworth Street, London, Greater London E10 7BA",Terraced,3.0,True,51.5686,-0.02109,E10 7BA, Capworth Street,2021
620000,27 Aug 2021,Freehold,False,"30, Liverpool Road, London, Greater London E10 6DN",Terraced,3.0,True,51.5782,-0.00393,E10 6DN, Liverpool Road,2021
101000,23 Jun 1999,Freehold,False,"30, Liverpool Road, London, Greater London E10 6DN",Terraced,3.0,True,51.5782,-0.00393,E10 6DN, Liverpool Road,1999
295000,27 Aug 2021,Leasehold,False,"102a, Dawlish Road, London, Greater London E10 6QW",Flat,1.0,True,51.56341,-0.00717,E10 6QW, Dawlish Road,2021
182000,30 Jan 2015,Leasehold,False,"102a, Dawlish Road, London, Greater London E10 6QW",Flat,1.0,True,51.56341,-0.00717,E10 6QW, Dawlish Road,2015
29500,12 Apr 1996,Leasehold,False,"102a, Dawlish Road, London, Greater London E10 6QW",Flat,1.0,True,51.56341,-0.00717,E10 6QW, Dawlish Road,1996
870000,23 Aug 2021,Freehold,False,"51, Essex Road, Leyton, London, Greater London E10 6HF",Terraced,4.0,True,51.57448,-0.00221,E10 6HF, Essex Road,2021
485000,24 Feb 2014,Freehold,False,"51, Essex Road, Leyton, London, Greater London E10 6HF",Terraced,4.0,True,51.57448,-0.00221,E10 6HF, Essex Road,2014
615000,20 Aug 2021,Freehold,False,"54, Leasowes Road, London, Greater London E10 7BE",Terraced,3.0,False,51.56804,-0.0201,E10 7BE, Leasowes Road,2021
472000,20 Aug 2021,Leasehold,False,"35, Francis Road, London, Greater London E10 6PN",Flat,2.0,True,51.56082,-0.00252,E10 6PN, Francis Road,2021
449500,25 Nov 2016,Leasehold,False,"35, Francis Road, London, Greater London E10 6PN",Flat,2.0,True,51.56082,-0.00252,E10 6PN, Francis Road,2016
330000,30 Mar 2016,Leasehold,False,"35, Francis Road, London, Greater London E10 6PN",Flat,2.0,True,51.56082,-0.00252,E10 6PN, Francis Road,2016
670000,20 Aug 2021,Freehold,False,"58, Murchison Road, London, Greater London E10 6NB",Terraced,3.0,True,51.56263,-0.00879,E10 6NB, Murchison Road,2021
485510,20 Aug 2021,Leasehold,False,"293, Francis Road, London, Greater London E10 6NW",Flat,3.0,False,51.56614,-0.00907,E10 6NW, Francis Road,2021
455500,14 Aug 2017,Leasehold,False,"293, Francis Road, London, Greater London E10 6NW",Flat,3.0,False,51.56614,-0.00907,E10 6NW, Francis Road,2017
357500,14 Apr 2015,Leasehold,False,"293, Francis Road, London, Greater London E10 6NW",Flat,3.0,False,51.56614,-0.00907,E10 6NW, Francis Road,2015
585000,17 Aug 2021,Freehold,False,"42, Chesterfield Road, London, Greater London E10 6EW",Terraced,3.0,True,51.57393,-0.00671,E10 6EW, Chesterfield Road,2021
635000,13 Aug 2021,Freehold,False,"32, Flempton Road, London, Greater London E10 7NH",Terraced,3.0,True,51.56914,-0.03232,E10 7NH, Flempton Road,2021
235000,22 Dec 2011,Freehold,False,"32, Flempton Road, London, Greater London E10 7NH",Terraced,3.0,True,51.56914,-0.03232,E10 7NH, Flempton Road,2011
640000,12 Aug 2021,Freehold,False,"36, Dawlish Road, London, Greater London E10 6QD",Terraced,3.0,True,51.56471,-0.00914,E10 6QD, Dawlish Road,2021
645000,19 Jul 2021,Freehold,False,"215, Dawlish Road, London, Greater London E10 6QN",Terraced,3.0,True,51.56213,-0.00579,E10 6QN, Dawlish Road,2021
230000,15 Jan 2004,Freehold,False,"215, Dawlish Road, London, Greater London E10 6QN",Terraced,3.0,True,51.56213,-0.00579,E10 6QN, Dawlish Road,2004
185000,10 Jul 2003,Freehold,False,"215, Dawlish Road, London, Greater London E10 6QN",Terraced,3.0,True,51.56213,-0.00579,E10 6QN, Dawlish Road,2003
140000,23 Jan 2003,Freehold,False,"215, Dawlish Road, London, Greater London E10 6QN",Terraced,3.0,True,51.56213,-0.00579,E10 6QN, Dawlish Road,2003
440000,16 Jul 2021,Leasehold,False,"302a, Capworth Street, London, Greater London E10 7BG",Flat,2.0,True,51.56878,-0.02151,E10 7BG, Capworth Street,2021
370000,30 Jun 2021,Leasehold,False,"81, Bloxhall Road, London, Greater London E10 7LW",Flat,2.0,True,51.56731,-0.03009,E10 7LW, Bloxhall Road,2021
178000,20 Aug 2010,Leasehold,False,"81, Bloxhall Road, London, Greater London E10 7LW",Flat,2.0,True,51.56731,-0.03009,E10 7LW, Bloxhall Road,2010
139995,11 Mar 2003,Leasehold,False,"81, Bloxhall Road, London, Greater London E10 7LW",Flat,2.0,True,51.56731,-0.03009,E10 7LW, Bloxhall Road,2003
113500,16 Oct 2002,Leasehold,False,"81, Bloxhall Road, London, Greater London E10 7LW",Flat,2.0,True,51.56731,-0.03009,E10 7LW, Bloxhall Road,2002
405000,30 Jun 2021,Leasehold,False,"285, Francis Road, London, Greater London E10 6NW",Flat,2.0,True,51.56614,-0.00907,E10 6NW, Francis Road,2021
135000,26 Jul 2002,Leasehold,False,"285, Francis Road, London, Greater London E10 6NW",Flat,2.0,True,51.56614,-0.00907,E10 6NW, Francis Road,2002
960000,30 Jun 2021,Freehold,False,"45, Liverpool Road, London, Greater London E10 6DN",Terraced,4.0,True,51.5782,-0.00393,E10 6DN, Liverpool Road,2021
585000,25 Jan 2016,Freehold,False,"45, Liverpool Road, London, Greater London E10 6DN",Terraced,4.0,True,51.5782,-0.00393,E10 6DN, Liverpool Road,2016
288000,5 Oct 2012,Freehold,False,"45, Liverpool Road, London, Greater London E10 6DN",Terraced,4.0,True,51.5782,-0.00393,E10 6DN, Liverpool Road,2012
545500,30 Jun 2021,Freehold,False,"81, Skeltons Lane, London, Greater London E10 5BS",Terraced,4.0,True,51.57024,-0.01207,E10 5BS, Skeltons Lane,2021
190000,28 Apr 2006,Freehold,False,"81, Skeltons Lane, London, Greater London E10 5BS",Terraced,4.0,True,51.57024,-0.01207,E10 5BS, Skeltons Lane,2006
149995,19 Sep 2002,Freehold,False,"81, Skeltons Lane, London, Greater London E10 5BS",Terraced,4.0,True,51.57024,-0.01207,E10 5BS, Skeltons Lane,2002
54500,21 Mar 1997,Freehold,False,"81, Skeltons Lane, London, Greater London E10 5BS",Terraced,4.0,True,51.57024,-0.01207,E10 5BS, Skeltons Lane,1997
582500,30 Jun 2021,Freehold,False,"136, Essex Road, Leyton, London, Greater London E10 6BS",Terraced,3.0,True,51.57722,-0.00455,E10 6BS, Essex Road,2021
80000,16 Oct 1995,Freehold,False,"136, Essex Road, Leyton, London, Greater London E10 6BS",Terraced,3.0,True,51.57722,-0.00455,E10 6BS, Essex Road,1995
725000,30 Jun 2021,Freehold,False,"99, Murchison Road, London, Greater London E10 6LY",Terraced,5.0,False,51.56464,-0.0051,E10 6LY, Murchison Road,2021
470000,30 Jun 2021,Leasehold,False,"74, Brunswick Road, London, Greater London E10 6RS",Flat,2.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,2021
443500,6 Oct 2017,Leasehold,False,"74, Brunswick Road, London, Greater London E10 6RS",Flat,2.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,2017
370000,2 Oct 2015,Leasehold,False,"74, Brunswick Road, London, Greater London E10 6RS",Flat,2.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,2015
316123,5 Sep 2014,Leasehold,False,"74, Brunswick Road, London, Greater London E10 6RS",Flat,2.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,2014
153000,10 Apr 2012,Leasehold,False,"74, Brunswick Road, London, Greater London E10 6RS",Flat,2.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,2012
38995,27 Feb 1997,Leasehold,False,"74, Brunswick Road, London, Greater London E10 6RS",Flat,2.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,1997
352000,30 Jun 2021,Leasehold,False,"57b, Claude Road, London, Greater London E10 6NG",Flat,1.0,True,51.56546,-0.00593,E10 6NG, Claude Road,2021
56000,29 Oct 1999,Leasehold,False,"57b, Claude Road, London, Greater London E10 6NG",Flat,1.0,True,51.56546,-0.00593,E10 6NG, Claude Road,1999
652000,29 Jun 2021,Freehold,False,"50, Coopers Lane, London, Greater London E10 5DG",Terraced,4.0,True,51.5694,-0.01037,E10 5DG, Coopers Lane,2021
427000,16 Dec 2015,Freehold,False,"50, Coopers Lane, London, Greater London E10 5DG",Terraced,4.0,True,51.5694,-0.01037,E10 5DG, Coopers Lane,2015
195000,28 Feb 2005,Freehold,False,"50, Coopers Lane, London, Greater London E10 5DG",Terraced,4.0,True,51.5694,-0.01037,E10 5DG, Coopers Lane,2005
78995,24 Sep 1999,Freehold,False,"50, Coopers Lane, London, Greater London E10 5DG",Terraced,4.0,True,51.5694,-0.01037,E10 5DG, Coopers Lane,1999
41000,22 Feb 1995,Freehold,False,"50, Coopers Lane, London, Greater London E10 5DG",Terraced,4.0,True,51.5694,-0.01037,E10 5DG, Coopers Lane,1995
485000,29 Jun 2021,Leasehold,False,"Flat C, 42, Grange Park Road, London, Greater London E10 5ES",Flat,2.0,False,51.56543,-0.01473,E10 5ES, Grange Park Road,2021
450000,22 Jun 2018,Leasehold,False,"Flat C, 42, Grange Park Road, London, Greater London E10 5ES",Flat,2.0,False,51.56543,-0.01473,E10 5ES, Grange Park Road,2018
250000,18 Apr 2013,Leasehold,False,"Flat C, 42, Grange Park Road, London, Greater London E10 5ES",Flat,2.0,False,51.56543,-0.01473,E10 5ES, Grange Park Road,2013
122000,2 Jun 2000,Leasehold,False,"Flat C, 42, Grange Park Road, London, Greater London E10 5ES",Flat,2.0,False,51.56543,-0.01473,E10 5ES, Grange Park Road,2000
54000,7 Jun 1995,Leasehold,False,"Flat C, 42, Grange Park Road, London, Greater London E10 5ES",Flat,2.0,False,51.56543,-0.01473,E10 5ES, Grange Park Road,1995
507570,29 Jun 2021,Leasehold,False,"46, Brunswick Road, London, Greater London E10 6RS",Flat,2.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,2021
323000,24 Oct 2014,Leasehold,False,"46, Brunswick Road, London, Greater London E10 6RS",Flat,2.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,2014
116500,26 Apr 2002,Leasehold,False,"46, Brunswick Road, London, Greater London E10 6RS",Flat,2.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,2002
450000,29 Jun 2021,Leasehold,False,"94, Brunswick Road, London, Greater London E10 6RS",Flat,2.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,2021
83995,18 Jun 2001,Leasehold,False,"94, Brunswick Road, London, Greater London E10 6RS",Flat,2.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,2001
512500,29 Jun 2021,Leasehold,False,"6, Brunswick Road, London, Greater London E10 6RS",Flat,3.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,2021
44000,20 Dec 1996,Leasehold,False,"6, Brunswick Road, London, Greater London E10 6RS",Flat,3.0,True,51.56667,-0.00804,E10 6RS, Brunswick Road,1996
703000,29 Jun 2021,Freehold,False,"60, Warren Road, Leyton, London, Greater London E10 5QA",Terraced,3.0,True,51.55932,-0.00447,E10 5QA, Warren Road,2021
635000,19 Dec 2017,Freehold,False,"60, Warren Road, Leyton, London, Greater London E10 5QA",Terraced,3.0,True,51.55932,-0.00447,E10 5QA, Warren Road,2017
